backend_id,eval_id,status,from_cache,wer,hits,substitutions,deletions,insertions,reference_words,inference_seconds,audio_seconds,rtf,error_category,error_message,attempts,raw_reference,raw_hypothesis,normalized_reference,normalized_hypothesis
deepgram_nova3,svarah_test_0000,success,0,0.033333,29,1,0,0,30,3.391739,14.646375,0.231575,,,1,English breaks the communication barriers between people of diverse cultural backgrounds and it creates a new community where people come together and share their cultures and ideas with broader audience.,"English breaks the communication barriers between people of diverse cultural background, and it creates a new community where people come together and share their cultures and ideas with broader audience.",english breaks the communication barriers between people of diverse cultural backgrounds and it creates a new community where people come together and share their cultures and ideas with broader audience,english breaks the communication barriers between people of diverse cultural background and it creates a new community where people come together and share their cultures and ideas with broader audience
deepgram_nova3,svarah_test_0001,success,0,0.030303,32,0,1,0,33,2.949659,14.365250,0.205333,,,1,"The radiation, the chemotherapy, everything, every every option for cancer treatment is available over here and it is largely used not only by the people of Gujarat but also by the nearby states.","The radiation, the chemotherapy, everything, every option for cancer treatment is available over here and it is largely used not only by the, people of Gujarat but also by the nearby states.",the radiation the chemotherapy everything every every option for cancer treatment is available over here and it is largely used not only by the people of gujarat but also by the nearby states,the radiation the chemotherapy everything every option for cancer treatment is available over here and it is largely used not only by the people of gujarat but also by the nearby states
deepgram_nova3,svarah_test_0002,success,0,0.000000,13,0,0,0,13,2.646651,4.778375,0.553881,,,1,"We differ from other countries in terms of food, in terms of dress","We differ from other countries in terms of food, in terms of dress,",we differ from other countries in terms of food in terms of dress,we differ from other countries in terms of food in terms of dress
deepgram_nova3,svarah_test_0003,success,0,0.125000,15,1,0,1,16,2.320208,6.987188,0.332066,,,1,Can you list all the Paid vaccination centres for age group 18+ years in district Chatra,Can you list all the paid vaccination centers for age group eighteen plus years in district Chattra?,can you list all the paid vaccination centers for age group 18 years in district chatra,can you list all the paid vaccination centers for age group 18 plus years in district chattra
deepgram_nova3,svarah_test_0004,success,0,0.000000,1,0,0,0,1,1.479990,1.100875,1.344376,,,1,39,Thirty nine.,39,39
deepgram_nova3,svarah_test_0005,success,0,0.000000,8,0,0,0,8,1.826632,2.889187,0.632230,,,1,Clear all the reminders set up last Year,Clear all the reminders set up last year.,clear all the reminders set up last year,clear all the reminders set up last year
deepgram_nova3,svarah_test_0006,success,0,0.142857,12,1,1,0,14,2.558203,5.507062,0.464531,,,1,A few tributaries form marshy land in early dry season due to natural seepage,A few tributaries form marshland in early dry season due to natural seepage,a few tributaries form marshy land in early dry season due to natural seepage,a few tributaries form marshland in early dry season due to natural seepage
deepgram_nova3,svarah_test_0007,success,0,0.000000,1,0,0,0,1,1.669554,0.500875,3.333274,,,1,Time,Time,time,time
deepgram_nova3,svarah_test_0008,success,0,0.555556,5,4,0,1,9,2.208862,5.400125,0.409039,,,1,"So, starting with Maghi Chakrati, on Maghi Chakrati which","K. So starting with Magi Shakrati. On Magi Shakrati, which",so starting with maghi chakrati on maghi chakrati which,k so starting with magi shakrati on magi shakrati which
deepgram_nova3,svarah_test_0009,success,0,0.125000,7,1,0,0,8,1.774066,2.535938,0.699570,,,1,change the color of the lights to blue,Change the color of the light to blue,change the color of the lights to blue,change the color of the light to blue
deepgram_nova3,svarah_test_0010,success,0,0.000000,1,0,0,0,1,1.089399,0.311688,3.495166,,,1,Three,Three.,3,3
deepgram_nova3,svarah_test_0011,success,0,0.000000,1,0,0,0,1,1.207486,0.516188,2.339240,,,1,Agree,Agree,agree,agree
deepgram_nova3,svarah_test_0012,success,0,0.200000,9,1,0,1,10,1.848239,4.298250,0.429998,,,1,How is the availability of healthcare professionals in your state?,How is the availability of health care professionals in your state?,how is the availability of healthcare professionals in your state,how is the availability of health care professionals in your state
