backend_id,eval_id,status,from_cache,wer,hits,substitutions,deletions,insertions,reference_words,inference_seconds,audio_seconds,rtf,error_category,error_message,attempts,raw_reference,raw_hypothesis,normalized_reference,normalized_hypothesis
crisp_v0823_parakeet_q4k,svarah_test_0000,success,0,0.033333,29,1,0,0,30,9.100480,14.646375,0.621347,,,1,English breaks the communication barriers between people of diverse cultural backgrounds and it creates a new community where people come together and share their cultures and ideas with broader audience.,English breaks the communication barriers between people of diverse cultural background and it creates a new community where people come together and share their cultures and ideas with broader audience.,english breaks the communication barriers between people of diverse cultural backgrounds and it creates a new community where people come together and share their cultures and ideas with broader audience,english breaks the communication barriers between people of diverse cultural background and it creates a new community where people come together and share their cultures and ideas with broader audience
crisp_v0823_parakeet_q4k,svarah_test_0001,success,0,0.030303,33,0,0,1,33,6.383922,14.365250,0.444400,,,1,"The radiation, the chemotherapy, everything, every every option for cancer treatment is available over here and it is largely used not only by the people of Gujarat but also by the nearby states.","The radiation, the chemotherapy, everything, every every option for cancer treatment is available over here and is it is largely used not only by the uh people of Gujarat but also by the nearby states.",the radiation the chemotherapy everything every every option for cancer treatment is available over here and it is largely used not only by the people of gujarat but also by the nearby states,the radiation the chemotherapy everything every every option for cancer treatment is available over here and is it is largely used not only by the people of gujarat but also by the nearby states
crisp_v0823_parakeet_q4k,svarah_test_0002,success,0,0.000000,13,0,0,0,13,1.868831,4.778375,0.391102,,,1,"We differ from other countries in terms of food, in terms of dress","We differ from other countries in terms of food, in terms of dress.",we differ from other countries in terms of food in terms of dress,we differ from other countries in terms of food in terms of dress
crisp_v0823_parakeet_q4k,svarah_test_0003,success,0,0.062500,16,0,0,1,16,2.858088,6.987188,0.409047,,,1,Can you list all the Paid vaccination centres for age group 18+ years in district Chatra,Can you list all the paid vaccination centers for age group eighteen plus years in District Chatra?,can you list all the paid vaccination centers for age group 18 years in district chatra,can you list all the paid vaccination centers for age group 18 plus years in district chatra
crisp_v0823_parakeet_q4k,svarah_test_0004,success,0,0.000000,1,0,0,0,1,0.551096,1.100875,0.500598,,,1,39,thirty nine.,39,39
crisp_v0823_parakeet_q4k,svarah_test_0005,success,0,0.000000,8,0,0,0,8,1.642440,2.889187,0.568478,,,1,Clear all the reminders set up last Year,Clear all the reminders set up last year.,clear all the reminders set up last year,clear all the reminders set up last year
crisp_v0823_parakeet_q4k,svarah_test_0006,success,0,0.000000,14,0,0,0,14,2.977311,5.507062,0.540635,,,1,A few tributaries form marshy land in early dry season due to natural seepage,A few tributaries form marshy land in early dry season due to natural seepage.,a few tributaries form marshy land in early dry season due to natural seepage,a few tributaries form marshy land in early dry season due to natural seepage
crisp_v0823_parakeet_q4k,svarah_test_0007,success,0,1.000000,0,1,0,0,1,0.307425,0.500875,0.613776,,,1,Time,High.,time,high
crisp_v0823_parakeet_q4k,svarah_test_0008,success,0,0.666667,5,4,0,2,9,2.828826,5.400125,0.523845,,,1,"So, starting with Maghi Chakrati, on Maghi Chakrati which","Okay, so s starting with Magy Shakarati. On Magi Shakarati uh which",so starting with maghi chakrati on maghi chakrati which,okay so s starting with magy shakarati on magi shakarati which
crisp_v0823_parakeet_q4k,svarah_test_0009,success,0,0.125000,7,1,0,0,8,1.503798,2.535938,0.592995,,,1,change the color of the lights to blue,Hence the color of the lights to blue.,change the color of the lights to blue,hence the color of the lights to blue
crisp_v0823_parakeet_q4k,svarah_test_0010,success,0,0.000000,1,0,0,0,1,0.297490,0.311688,0.954451,,,1,Three,Three.,3,3
crisp_v0823_parakeet_q4k,svarah_test_0011,success,0,0.000000,1,0,0,0,1,0.358391,0.516188,0.694304,,,1,Agree,Agree.,agree,agree
crisp_v0823_parakeet_q4k,svarah_test_0012,success,0,0.000000,10,0,0,0,10,2.269549,4.298250,0.528017,,,1,How is the availability of healthcare professionals in your state?,How is the availability of healthcare professionals in your state?,how is the availability of healthcare professionals in your state,how is the availability of healthcare professionals in your state
crisp_v0823_parakeet_q4k,svarah_test_0013,success,0,0.153846,12,1,0,1,13,2.003397,4.952875,0.404492,,,1,I am trying to search for ESIC Centres with centre type Local Office,I'm trying to search for a six centres with centre type local office.,i am trying to search for esic centers with center type local office,i am trying to search for a 6 centers with center type local office
crisp_v0823_parakeet_q4k,svarah_test_0014,success,0,0.000000,1,0,0,0,1,0.231772,0.364250,0.636300,,,1,Help,Help.,help,help
crisp_v0823_parakeet_q4k,svarah_test_0015,success,0,0.090909,30,3,0,0,33,5.759003,13.936125,0.413243,,,1,"my other favorite herbs are tulsi, pudina, dodapathre and vandalaga, tulsi as we all know is a very good medicinal plant or herb that can be used in treating common cold and cough","My other favourite herbs are Tulisi, Pudina, Dodapatre and Vandalaga. Tulesi, as we all know, is a very good medicinal plant or herb that can be used in treating common cold and cough.",my other favorite herbs are tulsi pudina dodapathre and vandalaga tulsi as we all know is a very good medicinal plant or herb that can be used in treating common cold and cough,my other favorite herbs are tulisi pudina dodapatre and vandalaga tulesi as we all know is a very good medicinal plant or herb that can be used in treating common cold and cough
crisp_v0823_parakeet_q4k,svarah_test_0016,success,0,0.000000,8,0,0,0,8,1.890635,5.112312,0.369820,,,1,"where I was trained physical, mental and spiritual","uh where uh I was trained uh physical, mental and spiritual.",where i was trained physical mental and spiritual,where i was trained physical mental and spiritual
crisp_v0823_parakeet_q4k,svarah_test_0017,success,0,0.000000,1,0,0,0,1,0.276221,0.690312,0.400139,,,1,because,Because,because,because
crisp_v0823_parakeet_q4k,svarah_test_0018,success,0,1.000000,0,1,0,0,1,0.409359,0.833313,0.491244,,,1,Manas,Manash.,manas,manash
crisp_v0823_parakeet_q4k,svarah_test_0019,success,0,0.142857,6,1,0,0,7,1.450174,3.345375,0.433486,,,1,"As for my opinion, there are not","As per my opinion, there are not",as for my opinion there are not,as per my opinion there are not
crisp_v0823_parakeet_q4k,svarah_test_0020,success,0,0.000000,23,0,0,0,23,4.346690,11.101750,0.391532,,,1,"The biking is booming. The demand is increasing, just because they are way cheaper than the cars. And it is environment-friendly, too","The biking is booming, the demand is increasing just because they are way cheaper than the cars and it is environment friendly too.",the biking is booming the demand is increasing just because they are way cheaper than the cars and it is environment friendly too,the biking is booming the demand is increasing just because they are way cheaper than the cars and it is environment friendly too
crisp_v0823_parakeet_q4k,svarah_test_0021,success,0,0.000000,3,0,0,0,3,1.723544,4.960000,0.347489,,,1,entire world interconnected.,entire world interconnected.,entire world interconnected,entire world interconnected
crisp_v0823_parakeet_q4k,svarah_test_0022,success,0,0.250000,7,1,0,1,8,2.500652,6.000000,0.416775,,,1,"it It is funded by state government, UCSH","It it is funded by state government, EGC, etc.",it it is funded by state government ucsh,it it is funded by state government egc etc
crisp_v0823_parakeet_q4k,svarah_test_0023,success,0,0.444444,8,1,0,3,9,1.564727,3.240000,0.482941,,,1,I also like Levi Skrull's Alice in Wonderland.,I also like Levi's Karl's Alice in Wonderland. It's,i also like levi skrull is alice in wonderland,i also like levi is karl is alice in wonderland it is
crisp_v0823_parakeet_q4k,svarah_test_0024,success,0,0.166667,6,0,0,1,6,0.932846,2.129563,0.438046,,,1,Mute my reminders for a day!,Mute my reminders for a day and,mute my reminders for a day,mute my reminders for a day and
crisp_v0823_parakeet_q4k,svarah_test_0025,success,0,0.000000,10,0,0,0,10,2.850778,6.360938,0.448169,,,1,Find all blood banks with A- blood in district Warangal,Find all blood banks with A blood in District Warangal.,find all blood banks with a blood in district warangal,find all blood banks with a blood in district warangal
crisp_v0823_parakeet_q4k,svarah_test_0026,success,0,0.047619,21,0,0,1,21,4.123308,10.678500,0.386132,,,1,For people of age group 18+ years is there any Free vaccination centre available in district Jaipur which provides First Dose,"For people of age group above 18 years, is there any free vaccination center available in District Jaipur which provides first dose?",for people of age group 18 years is there any free vaccination center available in district jaipur which provides 1st dose,for people of age group above 18 years is there any free vaccination center available in district jaipur which provides 1st dose
crisp_v0823_parakeet_q4k,svarah_test_0027,success,0,0.000000,7,0,0,0,7,1.205238,2.799625,0.430500,,,1,Start a new email to George Brown,Start a new email to George Brown.,start a new email to george brown,start a new email to george brown
crisp_v0823_parakeet_q4k,svarah_test_0028,success,0,0.000000,1,0,0,0,1,0.446418,0.591625,0.754562,,,1,farming,Farming.,farming,farming
crisp_v0823_parakeet_q4k,svarah_test_0029,success,0,1.000000,0,2,0,0,2,1.676400,1.113000,1.506199,,,1,Chandrashekhar Jha,Gender Seekarja.,chandrashekhar jha,gender seekarja
crisp_v0823_parakeet_q4k,svarah_test_0030,success,0,0.000000,5,0,0,0,5,2.987066,3.160000,0.945274,,,1,I love doing nature photography.,I love doing nature photography.,i love doing nature photography,i love doing nature photography
crisp_v0823_parakeet_q4k,svarah_test_0031,success,0,0.000000,18,0,0,0,18,4.309083,5.859250,0.735432,,,1,"That if someone speaks in English, then he is literate. We can justify that, we can judge that.","that if someone speaks in English then he is literate. We can justify that, we can judge that.",that if someone speaks in english then he is literate we can justify that we can judge that,that if someone speaks in english then he is literate we can justify that we can judge that
crisp_v0823_parakeet_q4k,svarah_test_0032,success,0,0.000000,5,0,0,0,5,1.953504,3.720250,0.525100,,,1,Also music has a very,"Also, music uh has a uh very uh",also music has a very,also music has a very
