backend_id,eval_id,status,from_cache,wer,hits,substitutions,deletions,insertions,reference_words,inference_seconds,audio_seconds,rtf,error_category,error_message,attempts,raw_reference,raw_hypothesis,normalized_reference,normalized_hypothesis
crisp_v0823_whisper_medium_en_q4k,svarah_test_0000,success,0,0.033333,29,1,0,0,30,14.215877,14.646375,0.970607,,,1,English breaks the communication barriers between people of diverse cultural backgrounds and it creates a new community where people come together and share their cultures and ideas with broader audience.,English breaks the communication barriers between people of diverse cultural background and it creates a new community where people come together and share their cultures and ideas with broader audience.,english breaks the communication barriers between people of diverse cultural backgrounds and it creates a new community where people come together and share their cultures and ideas with broader audience,english breaks the communication barriers between people of diverse cultural background and it creates a new community where people come together and share their cultures and ideas with broader audience
crisp_v0823_whisper_medium_en_q4k,svarah_test_0001,success,0,0.030303,32,0,1,0,33,14.418224,14.365250,1.003688,,,1,"The radiation, the chemotherapy, everything, every every option for cancer treatment is available over here and it is largely used not only by the people of Gujarat but also by the nearby states.","the radiation, the chemotherapy, everything, every option for cancer treatment is available over here and it is largely used not only by the people of Gujarat but also by the nearby states.",the radiation the chemotherapy everything every every option for cancer treatment is available over here and it is largely used not only by the people of gujarat but also by the nearby states,the radiation the chemotherapy everything every option for cancer treatment is available over here and it is largely used not only by the people of gujarat but also by the nearby states
crisp_v0823_whisper_medium_en_q4k,svarah_test_0002,success,0,0.000000,13,0,0,0,13,11.432802,4.778375,2.392613,,,1,"We differ from other countries in terms of food, in terms of dress","We differ from other countries in terms of food, in terms of dress.",we differ from other countries in terms of food in terms of dress,we differ from other countries in terms of food in terms of dress
crisp_v0823_whisper_medium_en_q4k,svarah_test_0003,success,0,0.062500,15,1,0,0,16,11.218077,6.987188,1.605521,,,1,Can you list all the Paid vaccination centres for age group 18+ years in district Chatra,Can you list all the paid vaccination centres for age group 18+ years in district Chhatra?,can you list all the paid vaccination centers for age group 18 years in district chatra,can you list all the paid vaccination centers for age group 18 years in district chhatra
crisp_v0823_whisper_medium_en_q4k,svarah_test_0004,success,0,0.000000,1,0,0,0,1,10.154957,1.100875,9.224442,,,1,39,39.,39,39
crisp_v0823_whisper_medium_en_q4k,svarah_test_0005,success,0,0.000000,8,0,0,0,8,12.662973,2.889187,4.382884,,,1,Clear all the reminders set up last Year,Clear all the reminders set up last year.,clear all the reminders set up last year,clear all the reminders set up last year
crisp_v0823_whisper_medium_en_q4k,svarah_test_0006,success,0,0.071429,13,1,0,0,14,12.548976,5.507062,2.278706,,,1,A few tributaries form marshy land in early dry season due to natural seepage,A few tributaries formed marshy land in early dry season due to natural seepage.,a few tributaries form marshy land in early dry season due to natural seepage,a few tributaries formed marshy land in early dry season due to natural seepage
crisp_v0823_whisper_medium_en_q4k,svarah_test_0007,success,0,1.000000,0,1,0,0,1,11.201954,0.500875,22.364770,,,1,Time,Heim.,time,heim
crisp_v0823_whisper_medium_en_q4k,svarah_test_0008,success,0,0.555556,5,4,0,1,9,18.311450,5.400125,3.390931,,,1,"So, starting with Maghi Chakrati, on Maghi Chakrati which","Okay, so starting with Maggi Sakrati on Maggi Sakrati, which",so starting with maghi chakrati on maghi chakrati which,okay so starting with maggi sakrati on maggi sakrati which
crisp_v0823_whisper_medium_en_q4k,svarah_test_0009,success,0,0.125000,7,1,0,0,8,15.396066,2.535938,6.071154,,,1,change the color of the lights to blue,Tense the color of the lights to blue.,change the color of the lights to blue,tense the color of the lights to blue
