backend_id,eval_id,status,from_cache,wer,hits,substitutions,deletions,insertions,reference_words,inference_seconds,audio_seconds,rtf,error_category,error_message,attempts,raw_reference,raw_hypothesis,normalized_reference,normalized_hypothesis
elevenlabs_scribe_v2,svarah_test_0000,success,0,0.033333,29,1,0,0,30,2.291734,14.646375,0.156471,,,1,English breaks the communication barriers between people of diverse cultural backgrounds and it creates a new community where people come together and share their cultures and ideas with broader audience.,"English breaks the communication barriers between people of diverse cultural background, and it creates a new community where people come together and share their cultures and ideas with broader audience.",english breaks the communication barriers between people of diverse cultural backgrounds and it creates a new community where people come together and share their cultures and ideas with broader audience,english breaks the communication barriers between people of diverse cultural background and it creates a new community where people come together and share their cultures and ideas with broader audience
elevenlabs_scribe_v2,svarah_test_0001,success,0,0.030303,33,0,0,1,33,1.931275,14.365250,0.134441,,,1,"The radiation, the chemotherapy, everything, every every option for cancer treatment is available over here and it is largely used not only by the people of Gujarat but also by the nearby states.","The radiation, the chemotherapy, everything, every, every option for cancer treatment is available over here, and is-- it is largely used not only by the, uh, people of Gujarat, but also by the nearby states",the radiation the chemotherapy everything every every option for cancer treatment is available over here and it is largely used not only by the people of gujarat but also by the nearby states,the radiation the chemotherapy everything every every option for cancer treatment is available over here and is it is largely used not only by the people of gujarat but also by the nearby states
elevenlabs_scribe_v2,svarah_test_0002,success,0,0.000000,13,0,0,0,13,1.466110,4.778375,0.306822,,,1,"We differ from other countries in terms of food, in terms of dress","We differ from other countries in terms of food, in terms of dress",we differ from other countries in terms of food in terms of dress,we differ from other countries in terms of food in terms of dress
elevenlabs_scribe_v2,svarah_test_0003,success,0,0.125000,15,1,0,1,16,1.171111,6.987188,0.167608,,,1,Can you list all the Paid vaccination centres for age group 18+ years in district Chatra,Can you list all the paid vaccination centers for age group 18 plus years in District Chhatra?,can you list all the paid vaccination centers for age group 18 years in district chatra,can you list all the paid vaccination centers for age group 18 plus years in district chhatra
elevenlabs_scribe_v2,svarah_test_0004,success,0,0.000000,1,0,0,0,1,0.875996,1.100875,0.795727,,,1,39,Thirty-nine,39,39
elevenlabs_scribe_v2,svarah_test_0005,success,0,0.000000,8,0,0,0,8,1.329195,2.889187,0.460059,,,1,Clear all the reminders set up last Year,Clear all the reminders set up last year,clear all the reminders set up last year,clear all the reminders set up last year
elevenlabs_scribe_v2,svarah_test_0006,success,0,0.000000,14,0,0,0,14,1.291890,5.507062,0.234588,,,1,A few tributaries form marshy land in early dry season due to natural seepage,A few tributaries form marshy land in early dry season due to natural seepage,a few tributaries form marshy land in early dry season due to natural seepage,a few tributaries form marshy land in early dry season due to natural seepage
elevenlabs_scribe_v2,svarah_test_0007,success,0,3.000000,0,1,0,2,1,1.090293,0.500875,2.176776,,,1,Time,"Hi, I'm",time,hi i am
elevenlabs_scribe_v2,svarah_test_0008,success,0,0.666667,4,5,0,1,9,1.212819,5.400125,0.224591,,,1,"So, starting with Maghi Chakrati, on Maghi Chakrati which","Okay, so starting with Maghe Sankranti. On Maghe Sankranti, uh, we",so starting with maghi chakrati on maghi chakrati which,okay so starting with maghe sankranti on maghe sankranti we
elevenlabs_scribe_v2,svarah_test_0009,success,0,0.000000,8,0,0,0,8,0.930640,2.535938,0.366981,,,1,change the color of the lights to blue,Change the color of the lights to blue,change the color of the lights to blue,change the color of the lights to blue
elevenlabs_scribe_v2,svarah_test_0010,success,0,1.000000,0,0,1,0,1,0.518720,0.311688,1.664230,,,1,Three,,3,
elevenlabs_scribe_v2,svarah_test_0011,success,0,0.000000,1,0,0,0,1,0.907870,0.516188,1.758799,,,1,Agree,Agree,agree,agree
elevenlabs_scribe_v2,svarah_test_0012,success,0,0.000000,10,0,0,0,10,1.141710,4.298250,0.265622,,,1,How is the availability of healthcare professionals in your state?,How is the availability of healthcare professionals in your state?,how is the availability of healthcare professionals in your state,how is the availability of healthcare professionals in your state
elevenlabs_scribe_v2,svarah_test_0013,success,0,0.000000,13,0,0,0,13,1.150931,4.952875,0.232376,,,1,I am trying to search for ESIC Centres with centre type Local Office,I'm trying to search for ESIC centers with center type local office,i am trying to search for esic centers with center type local office,i am trying to search for esic centers with center type local office
elevenlabs_scribe_v2,svarah_test_0014,success,0,0.000000,1,0,0,0,1,0.854080,0.364250,2.344762,,,1,Help,Help,help,help
elevenlabs_scribe_v2,svarah_test_0015,success,0,0.090909,31,2,0,1,33,2.310846,13.936125,0.165817,,,1,"my other favorite herbs are tulsi, pudina, dodapathre and vandalaga, tulsi as we all know is a very good medicinal plant or herb that can be used in treating common cold and cough","My other favorite herbs are Tulsi, Pudina, Dodda Patre, and Vondalaga. Tulsi, as we all know, is a very good, uh, medicinal plant or herb that can be used in treating, uh, common cold and cough",my other favorite herbs are tulsi pudina dodapathre and vandalaga tulsi as we all know is a very good medicinal plant or herb that can be used in treating common cold and cough,my other favorite herbs are tulsi pudina dodda patre and vondalaga tulsi as we all know is a very good medicinal plant or herb that can be used in treating common cold and cough
elevenlabs_scribe_v2,svarah_test_0016,success,0,0.000000,8,0,0,0,8,0.997973,5.112312,0.195210,,,1,"where I was trained physical, mental and spiritual","uh, where, uh, I was trained physical, mental, and spiritual",where i was trained physical mental and spiritual,where i was trained physical mental and spiritual
elevenlabs_scribe_v2,svarah_test_0017,success,0,0.000000,1,0,0,0,1,1.097611,0.690312,1.590020,,,1,because,Because,because,because
elevenlabs_scribe_v2,svarah_test_0018,success,0,0.000000,1,0,0,0,1,0.911707,0.833313,1.094076,,,1,Manas,Manas,manas,manas
elevenlabs_scribe_v2,svarah_test_0019,success,0,0.142857,6,1,0,0,7,0.949958,3.345375,0.283962,,,1,"As for my opinion, there are not","As per my opinion, there are not",as for my opinion there are not,as per my opinion there are not
elevenlabs_scribe_v2,svarah_test_0020,success,0,0.000000,23,0,0,0,23,1.639656,11.101750,0.147693,,,1,"The biking is booming. The demand is increasing, just because they are way cheaper than the cars. And it is environment-friendly, too","The biking is booming. The demand is increasing just because they are way cheaper than the cars, and it is environment friendly too",the biking is booming the demand is increasing just because they are way cheaper than the cars and it is environment friendly too,the biking is booming the demand is increasing just because they are way cheaper than the cars and it is environment friendly too
elevenlabs_scribe_v2,svarah_test_0021,success,0,0.666667,3,0,0,2,3,1.245858,4.960000,0.251181,,,1,entire world interconnected.,"The entire world interconnected. Um, not",entire world interconnected,the entire world interconnected not
elevenlabs_scribe_v2,svarah_test_0022,success,0,0.250000,7,1,0,1,8,1.706773,6.000000,0.284462,,,1,"it It is funded by state government, UCSH","It, it is funded by state government, UGC, etcetera",it it is funded by state government ucsh,it it is funded by state government ugc etcetera
elevenlabs_scribe_v2,svarah_test_0023,success,0,0.444444,7,2,0,2,9,1.296832,3.240000,0.400257,,,1,I also like Levi Skrull's Alice in Wonderland.,I also like Lewis Carroll's Alice in Wonderland. It's,i also like levi skrull is alice in wonderland,i also like lewis carroll is alice in wonderland it is
elevenlabs_scribe_v2,svarah_test_0024,success,0,0.000000,6,0,0,0,6,1.233132,2.129563,0.579054,,,1,Mute my reminders for a day!,Mute my reminders for a day,mute my reminders for a day,mute my reminders for a day
elevenlabs_scribe_v2,svarah_test_0025,success,0,0.000000,10,0,0,0,10,1.286380,6.360938,0.202231,,,1,Find all blood banks with A- blood in district Warangal,Find all blood banks with A blood in district Warangal,find all blood banks with a blood in district warangal,find all blood banks with a blood in district warangal
elevenlabs_scribe_v2,svarah_test_0026,success,0,0.047619,21,0,0,1,21,1.747757,10.678500,0.163671,,,1,For people of age group 18+ years is there any Free vaccination centre available in district Jaipur which provides First Dose,"For people of age group above 18 years, is there any free vaccination center available in District Jaipur which provides first dose?",for people of age group 18 years is there any free vaccination center available in district jaipur which provides 1st dose,for people of age group above 18 years is there any free vaccination center available in district jaipur which provides 1st dose
elevenlabs_scribe_v2,svarah_test_0027,success,0,0.000000,7,0,0,0,7,0.886420,2.799625,0.316621,,,1,Start a new email to George Brown,Start a new email to George Brown,start a new email to george brown,start a new email to george brown
elevenlabs_scribe_v2,svarah_test_0028,success,0,0.000000,1,0,0,0,1,0.799707,0.591625,1.351713,,,1,farming,farming,farming,farming
elevenlabs_scribe_v2,svarah_test_0029,success,0,1.000000,0,2,0,0,2,0.931326,1.113000,0.836771,,,1,Chandrashekhar Jha,चंद्रशेखर झा,chandrashekhar jha,चदरशखर झ
elevenlabs_scribe_v2,svarah_test_0030,success,0,0.000000,5,0,0,0,5,0.970013,3.160000,0.306966,,,1,I love doing nature photography.,I love doing nature photography,i love doing nature photography,i love doing nature photography
elevenlabs_scribe_v2,svarah_test_0031,success,0,0.055556,17,1,0,0,18,1.045247,5.859250,0.178393,,,1,"That if someone speaks in English, then he is literate. We can justify that, we can judge that.","That if someone speak in English, then he's literate. We can justify that, we can judge that",that if someone speaks in english then he is literate we can justify that we can judge that,that if someone speak in english then he is literate we can justify that we can judge that
elevenlabs_scribe_v2,svarah_test_0032,success,0,0.200000,5,0,0,1,5,1.574881,3.720250,0.423327,,,1,Also music has a very,"Also, music has a, a very, uh",also music has a very,also music has a a very
elevenlabs_scribe_v2,svarah_test_0033,success,0,1.000000,0,0,1,0,1,0.536416,0.310000,1.730375,,,1,Three,,3,
elevenlabs_scribe_v2,svarah_test_0034,success,0,0.000000,1,0,0,0,1,0.883698,0.430625,2.052129,,,1,Padma,Padma,padma,padma
