backend_id,eval_id,status,from_cache,wer,hits,substitutions,deletions,insertions,reference_words,inference_seconds,audio_seconds,rtf,error_category,error_message,attempts,raw_reference,raw_hypothesis,normalized_reference,normalized_hypothesis
gnani_prisma_v25,svarah_test_0000,success,0,0.033333,29,1,0,0,30,1.130245,14.646375,0.077169,,,1,English breaks the communication barriers between people of diverse cultural backgrounds and it creates a new community where people come together and share their cultures and ideas with broader audience.,english breaks the communication barriers between people of diverse cultural background and it creates a new community where people come together and share their cultures and ideas with broader audience,english breaks the communication barriers between people of diverse cultural backgrounds and it creates a new community where people come together and share their cultures and ideas with broader audience,english breaks the communication barriers between people of diverse cultural background and it creates a new community where people come together and share their cultures and ideas with broader audience
gnani_prisma_v25,svarah_test_0001,success,0,0.000000,33,0,0,0,33,1.651688,14.365250,0.114978,,,1,"The radiation, the chemotherapy, everything, every every option for cancer treatment is available over here and it is largely used not only by the people of Gujarat but also by the nearby states.",the radiation the chemotherapy everything every every option for cancer treatment is available over here and it is largely used not only by the people of gujarat but also by the nearby states,the radiation the chemotherapy everything every every option for cancer treatment is available over here and it is largely used not only by the people of gujarat but also by the nearby states,the radiation the chemotherapy everything every every option for cancer treatment is available over here and it is largely used not only by the people of gujarat but also by the nearby states
gnani_prisma_v25,svarah_test_0002,success,0,0.000000,13,0,0,0,13,0.383119,4.778375,0.080178,,,1,"We differ from other countries in terms of food, in terms of dress",we differ from other countries in terms of food in terms of dress,we differ from other countries in terms of food in terms of dress,we differ from other countries in terms of food in terms of dress
gnani_prisma_v25,svarah_test_0003,success,0,0.062500,16,0,0,1,16,0.657135,6.987188,0.094049,,,1,Can you list all the Paid vaccination centres for age group 18+ years in district Chatra,can you list all the paid vaccination centers for age group eighteen plus years in district chatra,can you list all the paid vaccination centers for age group 18 years in district chatra,can you list all the paid vaccination centers for age group 18 plus years in district chatra
gnani_prisma_v25,svarah_test_0004,success,0,0.000000,1,0,0,0,1,0.819883,1.100875,0.744756,,,1,39,thirty nine,39,39
gnani_prisma_v25,svarah_test_0005,success,0,0.000000,8,0,0,0,8,0.506042,2.889187,0.175150,,,1,Clear all the reminders set up last Year,clear all the reminders set up last year,clear all the reminders set up last year,clear all the reminders set up last year
gnani_prisma_v25,svarah_test_0006,success,0,0.142857,12,1,1,0,14,0.597950,5.507062,0.108579,,,1,A few tributaries form marshy land in early dry season due to natural seepage,a few tributaries form marshyland in early dry season due to natural seepage,a few tributaries form marshy land in early dry season due to natural seepage,a few tributaries form marshyland in early dry season due to natural seepage
gnani_prisma_v25,svarah_test_0007,success,0,2.000000,0,1,0,1,1,0.749581,0.500875,1.496542,,,1,Time,i am,time,i am
gnani_prisma_v25,svarah_test_0008,success,0,0.555556,5,4,0,1,9,0.617750,5.400125,0.114396,,,1,"So, starting with Maghi Chakrati, on Maghi Chakrati which",ok so starting with maage sakrati on maage sakrati which,so starting with maghi chakrati on maghi chakrati which,ok so starting with maage sakrati on maage sakrati which
gnani_prisma_v25,svarah_test_0009,success,0,0.000000,8,0,0,0,8,0.489770,2.535938,0.193132,,,1,change the color of the lights to blue,change the colour of the lights to blue,change the color of the lights to blue,change the color of the lights to blue
gnani_prisma_v25,svarah_test_0010,success,0,0.000000,1,0,0,0,1,0.706580,0.311688,2.266951,,,1,Three,three,3,3
gnani_prisma_v25,svarah_test_0011,success,0,0.000000,1,0,0,0,1,0.780136,0.516188,1.511342,,,1,Agree,agree,agree,agree
gnani_prisma_v25,svarah_test_0012,success,0,0.000000,10,0,0,0,10,0.577344,4.298250,0.134321,,,1,How is the availability of healthcare professionals in your state?,how is the availability of healthcare professionals in your state,how is the availability of healthcare professionals in your state,how is the availability of healthcare professionals in your state
gnani_prisma_v25,svarah_test_0013,success,0,0.076923,12,1,0,0,13,0.802855,4.952875,0.162099,,,1,I am trying to search for ESIC Centres with centre type Local Office,i am trying to search for ezic centers with center type local office,i am trying to search for esic centers with center type local office,i am trying to search for ezic centers with center type local office
gnani_prisma_v25,svarah_test_0014,success,0,0.000000,1,0,0,0,1,0.823871,0.364250,2.261829,,,1,Help,help,help,help
gnani_prisma_v25,svarah_test_0015,success,0,0.030303,32,1,0,0,33,0.873382,13.936125,0.062670,,,1,"my other favorite herbs are tulsi, pudina, dodapathre and vandalaga, tulsi as we all know is a very good medicinal plant or herb that can be used in treating common cold and cough",my other favourite herbs are tulsi pudina doddapatre and vandalaga tulsi as we all know is a very good medicinal plant or herb that can be used in treating common cold and cough,my other favorite herbs are tulsi pudina dodapathre and vandalaga tulsi as we all know is a very good medicinal plant or herb that can be used in treating common cold and cough,my other favorite herbs are tulsi pudina doddapatre and vandalaga tulsi as we all know is a very good medicinal plant or herb that can be used in treating common cold and cough
gnani_prisma_v25,svarah_test_0016,success,0,0.000000,8,0,0,0,8,0.762087,5.112312,0.149069,,,1,"where I was trained physical, mental and spiritual",where i was trained physical mental and spiritual,where i was trained physical mental and spiritual,where i was trained physical mental and spiritual
gnani_prisma_v25,svarah_test_0017,success,0,0.000000,1,0,0,0,1,0.903345,0.690312,1.308603,,,1,because,because,because,because
gnani_prisma_v25,svarah_test_0018,success,0,0.000000,1,0,0,0,1,0.529533,0.833313,0.635456,,,1,Manas,manas,manas,manas
gnani_prisma_v25,svarah_test_0019,success,0,0.142857,6,1,0,0,7,0.578509,3.345375,0.172928,,,1,"As for my opinion, there are not",as per my opinion there are not,as for my opinion there are not,as per my opinion there are not
gnani_prisma_v25,svarah_test_0020,success,0,0.000000,23,0,0,0,23,0.851737,11.101750,0.076721,,,1,"The biking is booming. The demand is increasing, just because they are way cheaper than the cars. And it is environment-friendly, too",the biking is booming the demand is increasing just because they are way cheaper than the cars and it is environment friendly too,the biking is booming the demand is increasing just because they are way cheaper than the cars and it is environment friendly too,the biking is booming the demand is increasing just because they are way cheaper than the cars and it is environment friendly too
gnani_prisma_v25,svarah_test_0021,success,0,0.333333,3,0,0,1,3,0.607844,4.960000,0.122549,,,1,entire world interconnected.,the entire world interconnected,entire world interconnected,the entire world interconnected
