backend_id,eval_id,status,from_cache,wer,hits,substitutions,deletions,insertions,reference_words,inference_seconds,audio_seconds,rtf,error_category,error_message,attempts,raw_reference,raw_hypothesis,normalized_reference,normalized_hypothesis
crisp_v0823_cohere_q4k,svarah_test_0000,success,0,0.033333,29,1,0,0,30,15.462813,14.646375,1.055743,,,1,English breaks the communication barriers between people of diverse cultural backgrounds and it creates a new community where people come together and share their cultures and ideas with broader audience.,english breaks the communication barriers between people of diverse cultural background and it creates a new community where people come together and share their cultures and ideas with broader audience,english breaks the communication barriers between people of diverse cultural backgrounds and it creates a new community where people come together and share their cultures and ideas with broader audience,english breaks the communication barriers between people of diverse cultural background and it creates a new community where people come together and share their cultures and ideas with broader audience
crisp_v0823_cohere_q4k,svarah_test_0001,success,0,0.000000,33,0,0,0,33,13.156910,14.365250,0.915885,,,1,"The radiation, the chemotherapy, everything, every every option for cancer treatment is available over here and it is largely used not only by the people of Gujarat but also by the nearby states.",the radiation the chemotherapy everything every every option for cancer treatment is available over here and it is largely used not only by the people of gujarat but also by the nearby states,the radiation the chemotherapy everything every every option for cancer treatment is available over here and it is largely used not only by the people of gujarat but also by the nearby states,the radiation the chemotherapy everything every every option for cancer treatment is available over here and it is largely used not only by the people of gujarat but also by the nearby states
crisp_v0823_cohere_q4k,svarah_test_0002,success,0,0.000000,13,0,0,0,13,5.187537,4.778375,1.085628,,,1,"We differ from other countries in terms of food, in terms of dress",we differ from other countries in terms of food in terms of dress,we differ from other countries in terms of food in terms of dress,we differ from other countries in terms of food in terms of dress
crisp_v0823_cohere_q4k,svarah_test_0003,success,0,0.062500,16,0,0,1,16,7.048873,6.987188,1.008828,,,1,Can you list all the Paid vaccination centres for age group 18+ years in district Chatra,can you list all the paid vaccination centres for age group eighteen plus years in district chatra,can you list all the paid vaccination centers for age group 18 years in district chatra,can you list all the paid vaccination centers for age group 18 plus years in district chatra
crisp_v0823_cohere_q4k,svarah_test_0004,success,0,3.000000,0,1,0,2,1,1.391283,1.100875,1.263797,,,1,39,thirteen i am,39,13 i am
crisp_v0823_cohere_q4k,svarah_test_0005,success,0,0.000000,8,0,0,0,8,3.874159,2.889187,1.340916,,,1,Clear all the reminders set up last Year,clear all the reminders set up last year,clear all the reminders set up last year,clear all the reminders set up last year
crisp_v0823_cohere_q4k,svarah_test_0006,success,0,0.000000,14,0,0,0,14,4.374557,5.507062,0.794354,,,1,A few tributaries form marshy land in early dry season due to natural seepage,a few tributaries form marshy land in early dry season due to natural seepage,a few tributaries form marshy land in early dry season due to natural seepage,a few tributaries form marshy land in early dry season due to natural seepage
crisp_v0823_cohere_q4k,svarah_test_0007,success,0,2.000000,0,1,0,1,1,0.557771,0.500875,1.113592,,,1,Time,i am,time,i am
crisp_v0823_cohere_q4k,svarah_test_0008,success,0,0.444444,5,4,0,0,9,4.363789,5.400125,0.808090,,,1,"So, starting with Maghi Chakrati, on Maghi Chakrati which",so starting with magi socrati on magi socrati which,so starting with maghi chakrati on maghi chakrati which,so starting with magi socrati on magi socrati which
crisp_v0823_cohere_q4k,svarah_test_0009,success,0,0.250000,6,2,0,0,8,2.092547,2.535938,0.825157,,,1,change the color of the lights to blue,hence the color of the light to blue,change the color of the lights to blue,hence the color of the light to blue
crisp_v0823_cohere_q4k,svarah_test_0010,success,0,0.000000,1,0,0,0,1,0.383108,0.311688,1.229143,,,1,Three,three,3,3
