backend_id,eval_id,status,from_cache,wer,hits,substitutions,deletions,insertions,reference_words,inference_seconds,audio_seconds,rtf,error_category,error_message,attempts,raw_reference,raw_hypothesis,normalized_reference,normalized_hypothesis
sarvam_saaras_v4,svarah_test_0000,success,0,0.033333,29,1,0,0,30,0.797766,14.646375,0.054468,,,1,English breaks the communication barriers between people of diverse cultural backgrounds and it creates a new community where people come together and share their cultures and ideas with broader audience.,English breaks the communication barriers between people of diverse cultural background and it creates a new community where people come together and share their cultures and ideas with broader audience.,english breaks the communication barriers between people of diverse cultural backgrounds and it creates a new community where people come together and share their cultures and ideas with broader audience,english breaks the communication barriers between people of diverse cultural background and it creates a new community where people come together and share their cultures and ideas with broader audience
sarvam_saaras_v4,svarah_test_0001,success,0,0.000000,33,0,0,0,33,0.593128,14.365250,0.041289,,,1,"The radiation, the chemotherapy, everything, every every option for cancer treatment is available over here and it is largely used not only by the people of Gujarat but also by the nearby states.","The radiation, the chemotherapy, everything, every every option for cancer treatment is available over here and it is largely used not only by the people of Gujarat but also by the nearby states.",the radiation the chemotherapy everything every every option for cancer treatment is available over here and it is largely used not only by the people of gujarat but also by the nearby states,the radiation the chemotherapy everything every every option for cancer treatment is available over here and it is largely used not only by the people of gujarat but also by the nearby states
sarvam_saaras_v4,svarah_test_0002,success,0,0.000000,13,0,0,0,13,0.474341,4.778375,0.099268,,,1,"We differ from other countries in terms of food, in terms of dress","We differ from other countries in terms of food, in terms of dress.",we differ from other countries in terms of food in terms of dress,we differ from other countries in terms of food in terms of dress
sarvam_saaras_v4,svarah_test_0003,success,0,0.062500,16,0,0,1,16,0.723384,6.987188,0.103530,,,1,Can you list all the Paid vaccination centres for age group 18+ years in district Chatra,Can you list all the paid vaccination centers for age group 18 plus years in district Chatra?,can you list all the paid vaccination centers for age group 18 years in district chatra,can you list all the paid vaccination centers for age group 18 plus years in district chatra
sarvam_saaras_v4,svarah_test_0004,success,0,0.000000,1,0,0,0,1,0.317218,1.100875,0.288151,,,1,39,39.,39,39
sarvam_saaras_v4,svarah_test_0005,success,0,0.000000,8,0,0,0,8,0.409875,2.889187,0.141865,,,1,Clear all the reminders set up last Year,Clear all the reminders set up last year.,clear all the reminders set up last year,clear all the reminders set up last year
sarvam_saaras_v4,svarah_test_0006,success,0,0.000000,14,0,0,0,14,0.512274,5.507062,0.093021,,,1,A few tributaries form marshy land in early dry season due to natural seepage,A few tributaries form marshy land in early dry season due to natural seepage.,a few tributaries form marshy land in early dry season due to natural seepage,a few tributaries form marshy land in early dry season due to natural seepage
sarvam_saaras_v4,svarah_test_0007,success,0,1.000000,0,1,0,0,1,0.282744,0.500875,0.564500,,,1,Time,Home.,time,home
sarvam_saaras_v4,svarah_test_0008,success,0,0.555556,5,4,0,1,9,0.488578,5.400125,0.090475,,,1,"So, starting with Maghi Chakrati, on Maghi Chakrati which","Okay, so starting with Maghe Sankranti. On Maghe Sankranti, which.",so starting with maghi chakrati on maghi chakrati which,okay so starting with maghe sankranti on maghe sankranti which
sarvam_saaras_v4,svarah_test_0009,success,0,0.000000,8,0,0,0,8,0.465986,2.535938,0.183753,,,1,change the color of the lights to blue,Change the color of the lights to blue.,change the color of the lights to blue,change the color of the lights to blue
sarvam_saaras_v4,svarah_test_0010,success,0,0.000000,1,0,0,0,1,0.288147,0.311688,0.924473,,,1,Three,Three.,3,3
sarvam_saaras_v4,svarah_test_0011,success,0,1.000000,0,1,0,0,1,0.329748,0.516188,0.638815,,,1,Agree,Advance.,agree,advance
