backend_id,eval_id,status,from_cache,wer,hits,substitutions,deletions,insertions,reference_words,inference_seconds,audio_seconds,rtf,error_category,error_message,attempts,raw_reference,raw_hypothesis,normalized_reference,normalized_hypothesis
voicerefine_whisper_tiny_int8,svarah_test_0000,success,0,0.066667,28,2,0,0,30,1.804466,14.646375,0.123202,,,1,English breaks the communication barriers between people of diverse cultural backgrounds and it creates a new community where people come together and share their cultures and ideas with broader audience.,"English breaks the communication barriers between people of drivers, cultural background and it creates a new community where people come together and share their cultures and ideas with broader audience.",english breaks the communication barriers between people of diverse cultural backgrounds and it creates a new community where people come together and share their cultures and ideas with broader audience,english breaks the communication barriers between people of drivers cultural background and it creates a new community where people come together and share their cultures and ideas with broader audience
voicerefine_whisper_tiny_int8,svarah_test_0001,success,0,0.030303,32,0,1,0,33,3.739081,14.365250,0.260287,,,1,"The radiation, the chemotherapy, everything, every every option for cancer treatment is available over here and it is largely used not only by the people of Gujarat but also by the nearby states.","The radiation, the chemotherapy, everything, every option for cancer treatment is available over here and it is largely used not only by the people of Gujarat but also by the nearby states.",the radiation the chemotherapy everything every every option for cancer treatment is available over here and it is largely used not only by the people of gujarat but also by the nearby states,the radiation the chemotherapy everything every option for cancer treatment is available over here and it is largely used not only by the people of gujarat but also by the nearby states
voicerefine_whisper_tiny_int8,svarah_test_0002,success,0,0.000000,13,0,0,0,13,0.662054,4.778375,0.138552,,,1,"We differ from other countries in terms of food, in terms of dress","We differ from other countries in terms of food, in terms of dress,",we differ from other countries in terms of food in terms of dress,we differ from other countries in terms of food in terms of dress
voicerefine_whisper_tiny_int8,svarah_test_0003,success,0,0.000000,16,0,0,0,16,1.343205,6.987188,0.192238,,,1,Can you list all the Paid vaccination centres for age group 18+ years in district Chatra,Can you list all the paid vaccination centers for age group 18+ years in district chatra?,can you list all the paid vaccination centers for age group 18 years in district chatra,can you list all the paid vaccination centers for age group 18 years in district chatra
voicerefine_whisper_tiny_int8,svarah_test_0004,success,0,0.000000,1,0,0,0,1,0.227195,1.100875,0.206377,,,1,39,39.,39,39
voicerefine_whisper_tiny_int8,svarah_test_0005,success,0,0.000000,8,0,0,0,8,0.441099,2.889187,0.152672,,,1,Clear all the reminders set up last Year,clear all the reminders set up last year.,clear all the reminders set up last year,clear all the reminders set up last year
voicerefine_whisper_tiny_int8,svarah_test_0006,success,0,0.142857,12,1,1,0,14,0.881216,5.507062,0.160016,,,1,A few tributaries form marshy land in early dry season due to natural seepage,A few tributaries form Marcilian in early dry season due to natural seepage.,a few tributaries form marshy land in early dry season due to natural seepage,a few tributaries form marcilian in early dry season due to natural seepage
voicerefine_whisper_tiny_int8,svarah_test_0007,success,0,0.000000,1,0,0,0,1,0.211032,0.500875,0.421326,,,1,Time,time.,time,time
voicerefine_whisper_tiny_int8,svarah_test_0008,success,0,0.444444,5,4,0,0,9,1.072714,5.400125,0.198646,,,1,"So, starting with Maghi Chakrati, on Maghi Chakrati which","So, starting with Maggie Saccrati on Maggie Saccrati which",so starting with maghi chakrati on maghi chakrati which,so starting with maggie saccrati on maggie saccrati which
voicerefine_whisper_tiny_int8,svarah_test_0009,success,0,0.125000,7,1,0,0,8,0.938216,2.535938,0.369968,,,1,change the color of the lights to blue,since the color of the lights to blue.,change the color of the lights to blue,since the color of the lights to blue
voicerefine_whisper_tiny_int8,svarah_test_0010,success,0,0.000000,1,0,0,0,1,0.230600,0.311688,0.739843,,,1,Three,3,3,3
voicerefine_whisper_tiny_int8,svarah_test_0011,success,0,0.000000,1,0,0,0,1,0.250137,0.516188,0.484586,,,1,Agree,agree.,agree,agree
voicerefine_whisper_tiny_int8,svarah_test_0012,success,0,0.200000,9,1,0,1,10,0.953748,4.298250,0.221892,,,1,How is the availability of healthcare professionals in your state?,How is the availability of health care professionals in your state?,how is the availability of healthcare professionals in your state,how is the availability of health care professionals in your state
voicerefine_whisper_tiny_int8,svarah_test_0013,success,0,0.230769,11,2,0,1,13,1.122437,4.952875,0.226623,,,1,I am trying to search for ESIC Centres with centre type Local Office,I am trying to search for a 6-centre with centre type local office.,i am trying to search for esic centers with center type local office,i am trying to search for a 6 center with center type local office
voicerefine_whisper_tiny_int8,svarah_test_0014,success,0,0.000000,1,0,0,0,1,0.219825,0.364250,0.603501,,,1,Help,help,help,help
voicerefine_whisper_tiny_int8,svarah_test_0015,success,0,0.212121,28,5,0,2,33,2.733997,13.936125,0.196181,,,1,"my other favorite herbs are tulsi, pudina, dodapathre and vandalaga, tulsi as we all know is a very good medicinal plant or herb that can be used in treating common cold and cough","My other favorite herbs are Tullisi, Pudina, Daudapatran, one De La Gah. Tullisi as we all know is a very good medicinal plant or herb that can be used in treating common cold and cough.",my other favorite herbs are tulsi pudina dodapathre and vandalaga tulsi as we all know is a very good medicinal plant or herb that can be used in treating common cold and cough,my other favorite herbs are tullisi pudina daudapatran one de la gah tullisi as we all know is a very good medicinal plant or herb that can be used in treating common cold and cough
voicerefine_whisper_tiny_int8,svarah_test_0016,success,0,0.000000,8,0,0,0,8,0.566643,5.112312,0.110839,,,1,"where I was trained physical, mental and spiritual",where I was trained physical mental and spiritual.,where i was trained physical mental and spiritual,where i was trained physical mental and spiritual
voicerefine_whisper_tiny_int8,svarah_test_0017,success,0,0.000000,1,0,0,0,1,0.311529,0.690312,0.451287,,,1,because,because,because,because
voicerefine_whisper_tiny_int8,svarah_test_0018,success,0,1.000000,0,1,0,0,1,0.328912,0.833313,0.394704,,,1,Manas,Manash.,manas,manash
voicerefine_whisper_tiny_int8,svarah_test_0019,success,0,0.142857,6,1,0,0,7,0.877494,3.345375,0.262301,,,1,"As for my opinion, there are not","As per my opinion, there are not.",as for my opinion there are not,as per my opinion there are not
voicerefine_whisper_tiny_int8,svarah_test_0020,success,0,0.086957,21,2,0,0,23,1.396764,11.101750,0.125815,,,1,"The biking is booming. The demand is increasing, just because they are way cheaper than the cars. And it is environment-friendly, too","The biking is booming, the demand is increasing, just because the are way cheaper than the cars and it is environmentally friendly too.",the biking is booming the demand is increasing just because they are way cheaper than the cars and it is environment friendly too,the biking is booming the demand is increasing just because the are way cheaper than the cars and it is environmentally friendly too
voicerefine_whisper_tiny_int8,svarah_test_0021,success,0,1.333333,2,1,0,3,3,0.470801,4.960000,0.094919,,,1,entire world interconnected.,the entire world inter connected not.,entire world interconnected,the entire world inter connected not
voicerefine_whisper_tiny_int8,svarah_test_0022,success,0,0.500000,6,1,1,2,8,0.846681,6.000000,0.141113,,,1,"it It is funded by state government, UCSH","It is funded by state government, you see, etcetera.",it it is funded by state government ucsh,it is funded by state government you see etcetera
voicerefine_whisper_tiny_int8,svarah_test_0023,success,0,0.888889,3,6,0,2,9,0.774195,3.240000,0.238949,,,1,I also like Levi Skrull's Alice in Wonderland.,I also like device controls and a send one to learn.,i also like levi skrull is alice in wonderland,i also like device controls and a send one to learn
voicerefine_whisper_tiny_int8,svarah_test_0024,success,0,0.000000,6,0,0,0,6,0.364484,2.129563,0.171155,,,1,Mute my reminders for a day!,mute my reminders for a day,mute my reminders for a day,mute my reminders for a day
voicerefine_whisper_tiny_int8,svarah_test_0025,success,0,0.100000,9,1,0,0,10,0.948698,6.360938,0.149144,,,1,Find all blood banks with A- blood in district Warangal,find all blood banks with A blood in district varangul.,find all blood banks with a blood in district warangal,find all blood banks with a blood in district varangul
voicerefine_whisper_tiny_int8,svarah_test_0026,success,0,0.142857,20,1,0,2,21,2.107099,10.678500,0.197322,,,1,For people of age group 18+ years is there any Free vaccination centre available in district Jaipur which provides First Dose,"For people of age group about 18 years, is there any free vaccination centre available in District J-Poor which provides first dose?",for people of age group 18 years is there any free vaccination center available in district jaipur which provides 1st dose,for people of age group about 18 years is there any free vaccination center available in district j poor which provides 1st dose
voicerefine_whisper_tiny_int8,svarah_test_0027,success,0,0.000000,7,0,0,0,7,0.844661,2.799625,0.301705,,,1,Start a new email to George Brown,Start a new email to George Brown.,start a new email to george brown,start a new email to george brown
voicerefine_whisper_tiny_int8,svarah_test_0028,success,0,1.000000,0,1,0,0,1,0.315371,0.591625,0.533059,,,1,farming,forming,farming,forming
voicerefine_whisper_tiny_int8,svarah_test_0029,success,0,1.000000,0,2,0,0,2,0.372330,1.113000,0.334528,,,1,Chandrashekhar Jha,"gender say,",chandrashekhar jha,gender say
voicerefine_whisper_tiny_int8,svarah_test_0030,success,0,0.000000,5,0,0,0,5,0.786982,3.160000,0.249045,,,1,I love doing nature photography.,I love doing nature photography,i love doing nature photography,i love doing nature photography
voicerefine_whisper_tiny_int8,svarah_test_0031,success,0,0.055556,17,1,0,0,18,1.483366,5.859250,0.253166,,,1,"That if someone speaks in English, then he is literate. We can justify that, we can judge that.",that if someone speak in English then he is literate. We can justify that we can judge that.,that if someone speaks in english then he is literate we can justify that we can judge that,that if someone speak in english then he is literate we can justify that we can judge that
voicerefine_whisper_tiny_int8,svarah_test_0032,success,0,0.000000,5,0,0,0,5,0.586731,3.720250,0.157713,,,1,Also music has a very,also music has a very,also music has a very,also music has a very
voicerefine_whisper_tiny_int8,svarah_test_0033,success,0,0.000000,1,0,0,0,1,0.232598,0.310000,0.750315,,,1,Three,3,3,3
voicerefine_whisper_tiny_int8,svarah_test_0034,success,0,2.000000,0,1,0,1,1,0.202834,0.430625,0.471024,,,1,Padma,Thank you,padma,thank you
voicerefine_whisper_tiny_int8,svarah_test_0035,success,0,0.250000,15,5,0,0,20,1.099202,6.638687,0.165575,,,1,The scenes of the movie of John Abraham riding the Suzuki Hayabusa It made me fall in love with biking,The scenes of the movie of Zona Braham writing the Suzuki I was made me fall in love with biking.,the scenes of the movie of john abraham riding the suzuki hayabusa it made me fall in love with biking,the scenes of the movie of zona braham writing the suzuki i was made me fall in love with biking
voicerefine_whisper_tiny_int8,svarah_test_0036,success,0,0.000000,10,0,0,0,10,0.496230,2.768438,0.179245,,,1,and hoping that one of them would turn out good,and hoping that one of them would turn out good.,and hoping that one of them would turn out good,and hoping that one of them would turn out good
voicerefine_whisper_tiny_int8,svarah_test_0037,success,0,0.176471,14,3,0,0,17,1.075094,8.461500,0.127057,,,1,The price mentioned for National Gardens Potted Tomato Seeds is not correct as compare to market prices.,The price mentioned for National Gardens Potted Tomatoes Eins is not correct as compared to market prices.,the price mentioned for national gardens potted tomato seeds is not correct as compare to market prices,the price mentioned for national gardens potted tomatoes eins is not correct as compared to market prices
voicerefine_whisper_tiny_int8,svarah_test_0038,success,0,0.100000,9,1,0,0,10,0.941954,6.520000,0.144471,,,1,And so difficult to say a favorite particular favorite quote,"And so, difficult to say a favorite particular favorite code.",and so difficult to say a favorite particular favorite quote,and so difficult to say a favorite particular favorite code
voicerefine_whisper_tiny_int8,svarah_test_0039,success,0,0.000000,12,0,0,0,12,1.949477,5.480000,0.355744,,,1,"the religion, or the community, or the race that they belong to,",the religion or the community or the race that they belong to.,the religion or the community or the race that they belong to,the religion or the community or the race that they belong to
