backend_id,eval_id,status,from_cache,wer,hits,substitutions,deletions,insertions,reference_words,inference_seconds,audio_seconds,rtf,error_category,error_message,attempts,raw_reference,raw_hypothesis,normalized_reference,normalized_hypothesis
crisp_v0823_whisper_base_en_q4k,svarah_test_0000,success,0,0.100000,28,2,0,1,30,2.053840,14.646375,0.140229,,,1,English breaks the communication barriers between people of diverse cultural backgrounds and it creates a new community where people come together and share their cultures and ideas with broader audience.,English breaks the communication barriers between people of driver's cultural background and it creates a new community where people come together and share their cultures and ideas with broader audience.,english breaks the communication barriers between people of diverse cultural backgrounds and it creates a new community where people come together and share their cultures and ideas with broader audience,english breaks the communication barriers between people of driver is cultural background and it creates a new community where people come together and share their cultures and ideas with broader audience
crisp_v0823_whisper_base_en_q4k,svarah_test_0001,success,0,0.030303,32,0,1,0,33,2.182253,14.365250,0.151912,,,1,"The radiation, the chemotherapy, everything, every every option for cancer treatment is available over here and it is largely used not only by the people of Gujarat but also by the nearby states.","The radiation, the chemotherapy, everything, every option for cancer treatment is available over here and it is largely used not only by the people of Gujarat but also by the nearby states.",the radiation the chemotherapy everything every every option for cancer treatment is available over here and it is largely used not only by the people of gujarat but also by the nearby states,the radiation the chemotherapy everything every option for cancer treatment is available over here and it is largely used not only by the people of gujarat but also by the nearby states
crisp_v0823_whisper_base_en_q4k,svarah_test_0002,success,0,0.000000,13,0,0,0,13,1.745221,4.778375,0.365233,,,1,"We differ from other countries in terms of food, in terms of dress","We differ from other countries in terms of food, in terms of dress.",we differ from other countries in terms of food in terms of dress,we differ from other countries in terms of food in terms of dress
crisp_v0823_whisper_base_en_q4k,svarah_test_0003,success,0,0.000000,16,0,0,0,16,1.830195,6.987188,0.261936,,,1,Can you list all the Paid vaccination centres for age group 18+ years in district Chatra,Can you list all the paid vaccination centers for age group 18+ years in district Chatra?,can you list all the paid vaccination centers for age group 18 years in district chatra,can you list all the paid vaccination centers for age group 18 years in district chatra
crisp_v0823_whisper_base_en_q4k,svarah_test_0004,success,0,0.000000,1,0,0,0,1,1.472989,1.100875,1.338017,,,1,39,39,39,39
crisp_v0823_whisper_base_en_q4k,svarah_test_0005,success,0,0.000000,8,0,0,0,8,1.575800,2.889187,0.545413,,,1,Clear all the reminders set up last Year,Clear all the reminders set up last year.,clear all the reminders set up last year,clear all the reminders set up last year
crisp_v0823_whisper_base_en_q4k,svarah_test_0006,success,0,0.071429,13,1,0,0,14,1.742001,5.507062,0.316321,,,1,A few tributaries form marshy land in early dry season due to natural seepage,A few tributaries form mercy land in early dry season due to natural seepage.,a few tributaries form marshy land in early dry season due to natural seepage,a few tributaries form mercy land in early dry season due to natural seepage
crisp_v0823_whisper_base_en_q4k,svarah_test_0007,success,0,0.000000,1,0,0,0,1,1.527896,0.500875,3.050453,,,1,Time,time.,time,time
crisp_v0823_whisper_base_en_q4k,svarah_test_0008,success,0,0.444444,5,4,0,0,9,1.693271,5.400125,0.313561,,,1,"So, starting with Maghi Chakrati, on Maghi Chakrati which","So, starting with Magi Sakrati on Magi Sakrati which",so starting with maghi chakrati on maghi chakrati which,so starting with magi sakrati on magi sakrati which
crisp_v0823_whisper_base_en_q4k,svarah_test_0009,success,0,0.125000,7,1,0,0,8,1.296644,2.535938,0.511308,,,1,change the color of the lights to blue,Tense the color of the lights to blue.,change the color of the lights to blue,tense the color of the lights to blue
